"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" -1.09722838296948e-42 -8.86006108885749e-43 1.68227392906388e-42 2.09084249565147e-42 1.00727772527422e-42 1.57667535615622e-42 1.45081358402572e-42 -2.05692228789179e-43 9.02622074703518e-43 4.77040847306987e-42
"2" 5.93101813176321e-15 -2.69748618120585e-14 1.74573694467719e-14 -6.98675704061712e-15 -6.94424646656358e-15 3.62209309931262e-14 -1.13758902250385e-14 2.08098605036178e-14 1.09556135076473e-15 3.77966603163773e-15
"3" -9.4193424841999e-21 -1.07262375218033e-20 1.09869172181972e-21 -1.88921761540583e-21 -3.42028081887447e-21 -2.19589113007352e-20 1.01489026155794e-20 1.44527114962206e-20 1.28078514462764e-20 2.28199049566462e-20
"4" -7.56202972550863e-09 -5.12370641046803e-10 1.497251881816e-09 -3.65508504005341e-09 -7.50468719475278e-09 -1.48182126976451e-08 -2.25479191412884e-10 1.73749942674242e-09 -9.01992459623823e-09 1.14863194499635e-09
"5" -1.0841282283811e-08 1.26817498166439e-09 -1.05764233541838e-08 2.11823007432514e-08 6.35746828607389e-09 -5.71132798567666e-09 -4.85377466162536e-10 8.28810268623451e-09 1.55830986028302e-08 -2.9458419316955e-08
"6" -7.18859041328255e-07 2.86009140705609e-06 -2.68978611785285e-06 -4.70603517865848e-06 1.37016031904243e-06 2.63090636243616e-06 6.67513922413563e-07 5.11762817655207e-06 -3.82738511469147e-06 -3.2106304888239e-06
"7" -4.14502752107091e-23 -2.26565510941393e-23 -3.10723664777548e-24 8.07162096412273e-24 4.0090434604341e-23 7.17291099429163e-23 3.45874901361297e-23 2.29433148100016e-23 2.18348787615796e-23 -1.65915048929224e-23
"8" -6.53533283406994e-12 5.47789970832317e-12 3.70980172078922e-12 -9.33445277600099e-12 6.43594764743217e-11 4.32214053589369e-11 -5.40015216046429e-11 2.84225876347779e-11 -5.3809040839502e-11 1.40194979577954e-13
"9" 1.05372029958037e-21 9.93469852939041e-21 -3.72269707425746e-21 1.95540338176939e-22 7.14743481456058e-21 2.38870785935602e-21 -8.76997637144419e-21 3.46954459347431e-21 -1.11742593435722e-20 -7.28502796254841e-21
"10" -9.7735721059994e-08 -5.22050999594595e-08 5.12178567932064e-08 -4.01606961547054e-08 5.24685372710951e-08 -2.35293022763354e-08 -6.33722064242526e-09 1.21591417610981e-08 1.96170320431853e-08 -3.69554410632229e-08
"11" 2.77307504785588e-07 -3.9003753677268e-07 6.33974182025348e-07 -1.2103649166826e-06 -2.28080297349112e-07 -7.25262125074463e-08 -1.83430612806957e-06 -3.49667838975401e-07 1.35704925529153e-06 -3.80590123418887e-07
"12" 2.726797233473e-14 -4.27436193543262e-15 2.14382795194861e-14 -9.82796513491202e-15 -3.04870054412624e-14 1.30249989347133e-15 1.36527978688826e-15 -3.53017110689959e-15 -1.4349599981176e-14 3.01961295220112e-14
"13" 2.51483847859422e-23 9.95742302153514e-23 1.19768624438016e-22 -1.08702059045251e-22 -3.31336948455972e-23 9.92116326658333e-23 3.1498907411231e-22 -7.8469478132304e-23 -1.38762151969466e-22 -6.82099515640193e-23
"14" 6.0353194461845e-13 -3.51318477327231e-13 -7.39152209556328e-14 -2.25192989836375e-13 -2.18566995759339e-13 -1.53619203074114e-13 -4.24937689524058e-13 -1.51185508401053e-13 2.68067877051681e-14 8.45871254329363e-13
"15" -5.1191316500073e-26 -1.34013233284153e-27 5.15107531056127e-26 -1.18290736174253e-25 2.78291793026238e-25 2.55663838472686e-26 7.2002132316818e-26 1.68767948053981e-26 1.51020462054267e-25 2.38445059506673e-25
