"V1" "V2" "V3"
"1" 1 1 1
"2" 1 1 1
"3" 1 1 1
"4" 1 1 1
"5" -1.88615496356189 3.56168273195694 12.6843454644618
"6" 1.18181017617565 1.39760940947062 1.95055220913958
"7" 1 1 1
"8" 1 1 1
"9" 1 0.999999999999999 0.999999999999999
"10" 1 1 1
"11" 1 1 1
"12" 1 1 1
"13" 0.586798216506432 0.356587155328053 0.128476875848217
"14" 1 1 1
"15" 1.39669831819959 1.9389656853423 3.75984970819887
"16" 1 1 1
"17" 1 1 1
"18" 1 1 1
"19" 0.997610060216698 0.995208570680994 0.990403228751118
"20" 1 1 1
"21" 1 1 1
"22" 1.00000004425198 1.00000008863968 1.00000017771373
"23" 1 1 1
"24" 1 1 1
"25" 1 1 1
"26" 1 1 1
"27" 0.230312404801276 0.0459290440468169 -0.00785971711403329
"28" 1.53415188042271 2.35524062419653 5.55028228177908
"29" 1 1 1
"30" 1 1 1
"31" 1 1 1
"32" 1.26799499291329 1.60882837867291 2.59031200305316
"33" 1 1 1
"34" 1 1 1
"35" 1 1 1
"36" 1.25563555558255 1.57501452291592 2.48008024560632
"37" 1 1 1
"38" 1 1 1
"39" 1.1426648831522 1.30481500981926 1.70196614527386
"40" 1 1 1
"41" 1.10942946719245 1.23039819743456 1.51599107764818
"42" 1 1 1
"43" 1 1 1
"44" 1 1 1
"45" 1 1 1
"46" 1 1 1
"47" 1 1 1
"48" 1 1 1
"49" 1.2928928685637 1.67196982209303 2.79746481931499
"50" 1 1 1
"51" 1 1 1
"52" 1 1 1
"53" 1 1 1
"54" 1 1 1
"55" 1 1 1
"56" 1 1 1
"57" 1 1 1
"58" 1 1 1
"59" -1.3930061759991 1.94725724299188 3.79508962574281
"60" 1 1 1
"61" 1 1 1
"62" 1 1 1
"63" 1 1 1
"64" 1 1 1
"65" 1 1 1
"66" 1 1 1
"67" 1.25249936619872 1.57095491087368 2.46984638861953
"68" 1 1 1
"69" 1 1 1
"70" 1 1 1
"71" 1.21948195703349 1.48679137875661 2.20895958423304
"72" 1 1 1
"73" 1 1 1
"74" 1 1 1
"75" 0.574008807143232 0.335494579785817 0.0889243736735813
"76" 1 1 1
"77" 1 1 1
"78" 1 1 1
"79" 1.78531178207665 3.18895679822354 10.172476332731
"80" 1 1 1
"81" 1 1 1
"82" 1.42896845421971 2.04330101789736 4.17779590738335
"83" 1 1 1
"84" 1 1 1
"85" 1 1 1
"86" 1.47225562038137 2.16891404693651 4.707357759984
"87" 1 1 1
"88" 1.59192069425848 2.5356690014815 6.43218008856123
"89" 1.0004584200904 1.00091892087371 1.00184299030659
"90" -2.13059254644879 4.54704322490478 20.6814340032713
"91" 1 1 1
"92" 1 1 1
"93" 1 1 1
"94" 1.25557403056337 1.57696598774348 2.48876577375676
"95" 1 1 1
"96" 1 1 1
"97" 1.30071138867984 1.69279863323144 2.86334587783458
"98" 1 1 1
"99" 0.999730093340537 0.999459557312149 0.998917601857646
"100" 1 1 1
"101" 1 1 1
"102" 1 1 1
"103" 1 1 1
"104" 1 1 1
"105" 1 1 1
"106" 1 1 1
"107" 1 1 1
"108" 0.56336365319911 0.311801326370216 0.100551090117093
"109" 1 1 1
"110" 1 1 1
"111" 1 1 1
"112" -1.01170073229115 1.03233888868408 1.06491194863598
"113" 1 1 1
"114" 1 1 1
"115" 1 1 1
"116" 1 1 0.999999999999999
"117" 1 1 1
"118" 1 1 1
"119" 1 1 1
"120" 1 1 1
"121" 1 1 1
"122" 1 1 1
"123" 1 1 1
"124" -2.03614588694939 4.15269519622289 17.2491934128117
"125" 1 1 1
"126" 1 1 1
"127" 1 1 1
"128" -0.0335670851468838 -0.000488168249024158 0.00385207470886888
"129" 1 1 1
"130" 1 1 1
"131" 1.00859304492721 1.01729541137963 1.03496390783647
"132" -1.1271643204343 1.26941386602478 1.60687582727442
"133" 1 1 1
"134" 1.24498510712908 1.55156552213237 2.40863880442031
"135" 1 1 1
"136" 1 1 1
"137" 1 1 1
"138" 1 1 1
"139" 1.37443504794325 1.88970669843004 3.57315147864467
"140" 1 1 1
"141" 1 1 1
"142" 1 1 1
"143" 1 1 1
"144" 1 1 1
