dimensao,gbests
tres,1.94095305949125e-68
tres,5.43982057669966e-52
tres,4.71386063468384e-48
tres,1.06942196858243e-53
tres,5.57184234798842e-54
tres,4.09048189468335e-52
tres,3.23520554449175e-81
tres,2.43790091887018e-40
tres,5.36757249092268e-49
tres,1.49181027607334e-48
tres,2.4030360980416e-49
tres,7.21351627406453e-53
tres,2.17976470290181e-72
tres,1.20302825657851e-53
tres,8.80862434731713e-66
tres,1.54616711108308e-50
tres,1.95703148014471e-47
tres,8.23831565711697e-50
tres,4.19791492780502e-48
tres,1.0154394271306e-54
tres,1.87085928726301e-49
tres,1.58785656055155e-48
tres,2.77330691978555e-33
tres,1.80257657799165e-47
tres,3.93846841079815e-51
tres,1.83351916629696e-50
tres,1.77291880783881e-52
tres,1.09153125534813e-47
tres,5.98895607192143e-156
tres,2.04555952441452e-56
tres,3.83297934596297e-74
tres,8.18588035501399e-77
tres,2.77521442817244e-35
tres,9.57071122344863e-50
tres,4.87173048347879e-49
tres,1.16669231928029e-52
tres,1.49358454124022e-44
tres,1.42272957012288e-63
tres,3.11697904094143e-47
tres,2.65199486197727e-47
tres,6.7848340471212e-30
tres,5.23644362420129e-47
tres,2.5599967695649e-33
tres,6.57847388807788e-52
tres,2.20240795753499e-43
tres,4.84248662476028e-53
tres,7.20926451808862e-72
tres,3.37052268464661e-64
tres,4.37030614770606e-49
tres,1.48360485138911e-50
tres,1.55796810415924e-52
tres,2.5441577167457e-60
tres,6.06086433041172e-52
tres,1.44802281763427e-51
tres,2.37152324288546e-68
tres,2.22096075763413e-50
tres,3.07120144117008e-70
tres,1.02097066753147e-45
tres,2.28555402317406e-55
tres,2.07144299954604e-50
tres,1.07068242576267e-49
tres,4.92464344766272e-44
tres,3.57371609178211e-49
tres,1.74121882230674e-82
tres,1.43514708765082e-46
tres,1.61935652317046e-81
tres,1.37060517533946e-48
tres,1.79325968873273e-49
tres,4.26248014374228e-51
tres,5.37352150404725e-67
tres,5.17147843029021e-46
tres,2.34473356272771e-48
tres,2.04584819905946e-47
tres,7.05196778103843e-47
tres,5.29150649117507e-47
tres,2.99343121125959e-47
tres,4.06358287576029e-45
tres,1.08250875762436e-64
tres,2.35211085796478e-47
tres,8.08192987844202e-86
tres,5.47890977684638e-67
tres,2.42799262662756e-49
tres,2.93588345469204e-47
tres,3.94198748755279e-36
tres,1.45329634573014e-49
tres,6.51823733154496e-76
tres,3.30420867054551e-32
tres,3.28067211792864e-47
tres,1.43200026670071e-49
tres,5.00242719105648e-49
tres,1.27548275602033e-49
tres,3.36556021435434e-50
tres,5.91940298098666e-47
tres,2.18502136238313e-48
tres,6.18527811012646e-74
tres,6.58064758800724e-53
tres,3.68611602042258e-50
tres,1.85078092445236e-48
tres,5.74854944023793e-50
tres,2.30313306721487e-48
tres,1.07739962999554e-48
tres,8.71311873944792e-40
tres,1.09825949165885e-46
tres,4.57741985994613e-50
tres,1.32600854039565e-50
tres,8.47574557688313e-50
tres,5.3760805564359e-72
tres,4.45503600168679e-45
tres,1.44202773361974e-49
tres,2.94390428929849e-48
tres,7.98320481024383e-49
tres,1.50901196326098e-48
tres,3.8985402472078e-49
tres,3.97549126365131e-45
tres,1.65881360953932e-108
tres,1.84151523244469e-47
tres,8.7651148564034e-42
tres,2.7641369198302e-49
tres,2.06411469417245e-48
tres,1.07456395763415e-53
tres,8.43282429367912e-48
tres,4.62270395102203e-48
tres,2.36999220408797e-56
tres,6.4172898824252e-47
tres,1.34791580380388e-59
tres,3.32565001132712e-74
tres,7.27934570395331e-48
tres,2.70101795545388e-49
tres,2.28428753111522e-46
tres,1.49502794050153e-65
tres,1.80032618443955e-48
tres,2.52700964298271e-49
tres,1.01739852589083e-63
tres,6.86551635103658e-52
tres,2.24885593393556e-43
tres,7.39050686571038e-42
tres,1.15853594800987e-47
tres,6.55699358100185e-50
tres,4.6494621818048e-49
tres,1.95374842029375e-70
tres,1.52800813990489e-54
tres,8.09018746687816e-48
tres,7.57925985197804e-53
tres,1.45142798804024e-45
tres,7.31894822990339e-48
tres,3.98725604851906e-70
tres,1.8124061455427e-47
tres,3.32165901316729e-49
tres,2.8966150605336e-53
tres,6.97776152428976e-49
tres,5.04105275901773e-48
tres,9.02303846229465e-61
tres,4.14754346336174e-51
tres,9.23555952607491e-58
tres,2.95534919605721e-48
tres,3.18179399953528e-50
tres,5.20929539348958e-52
tres,3.73829777291246e-49
tres,1.82058754797056e-46
tres,1.93844134773929e-52
tres,7.96667998825482e-48
tres,3.30619839922707e-49
tres,1.37943909373176e-47
tres,3.54400622441937e-49
tres,3.48650746156685e-87
tres,3.70351214602444e-52
tres,3.76168950946982e-110
tres,1.990266635822e-55
tres,4.2062399758802e-45
tres,1.95842238311784e-72
tres,3.85959638079192e-53
tres,1.68706892042107e-47
tres,5.44512647196369e-52
tres,1.32634104411067e-48
tres,1.10588095526996e-49
tres,3.33361297340442e-52
tres,1.13671867784262e-77
tres,2.7458232124437e-74
tres,2.19932016455957e-41
tres,2.69473221022708e-61
tres,4.19878579839105e-41
tres,8.39080234062509e-49
tres,2.72970768512554e-55
tres,1.48767893869895e-20
tres,8.77076136038089e-52
tres,1.47132215603777e-74
tres,7.78371438934677e-47
tres,7.42235282338146e-49
tres,1.10509374305186e-54
tres,1.01976851286511e-46
tres,1.17348474976684e-49
tres,8.9171353905507e-48
tres,1.31190533340102e-49
tres,7.8592935174953e-50
tres,6.99728053531657e-50
tres,7.94854924422014e-35
tres,1.93379379468712e-48
tres,1.42618705369809e-56
tres,1.04266671696619e-49
tres,4.39393594987102e-71
tres,1.78773203760155e-71
tres,6.08347688988623e-49
tres,1.20092583942204e-48
tres,2.55336264261548e-49
tres,4.71614012685198e-66
tres,7.5470971112281e-48
tres,1.83030377721623e-48
tres,1.96827916548753e-63
tres,9.73785253795932e-50
tres,3.69274460575996e-48
tres,3.29365855990033e-51
tres,9.98074968028349e-51
tres,2.15682162702962e-45
tres,3.75382901901625e-48
tres,4.80534620906992e-48
tres,1.32515994536647e-50
tres,1.64346687914129e-45
tres,7.6236594690737e-59
tres,7.98023362332314e-90
tres,1.07641823711444e-50
tres,1.32047561487502e-52
tres,9.10052344920826e-48
tres,2.52744743279149e-43
tres,9.36131043660333e-49
tres,1.70028505236166e-53
tres,9.71129531414691e-49
tres,7.18436518531989e-52
tres,2.12870385810143e-38
tres,7.38143508294624e-48
tres,1.28462352684191e-48
tres,2.69865112170321e-45
tres,8.8588042999871e-50
tres,7.85759274451365e-48
tres,2.9456227209347e-50
tres,2.04300964146311e-50
tres,1.10364619576389e-47
tres,2.15936252856034e-51
tres,4.76338920713993e-49
tres,4.76542560120835e-50
tres,2.05605464477841e-44
tres,2.44398004282537e-80
tres,1.46847165965885e-76
tres,4.89752270114818e-48
tres,2.27720710616914e-54
tres,4.26444730716964e-48
tres,1.97877891025644e-48
tres,1.1696274087993e-48
tres,4.14995989665159e-51
tres,1.88336657005308e-54
tres,7.62015708635469e-50
tres,2.090317357341e-32
tres,7.42223819180914e-48
tres,2.43937482966356e-43
tres,4.20563963546527e-47
tres,2.85728235306063e-62
tres,8.00059648768237e-52
tres,1.9901030069856e-49
tres,1.62026376715262e-48
tres,4.83735170799307e-55
tres,2.5550984984991e-49
tres,6.54619281715123e-49
tres,9.55784060841814e-50
tres,1.03477335922469e-47
tres,2.59148291876052e-48
tres,3.06080914879578e-46
tres,1.34965481838274e-47
tres,6.33566194746983e-51
tres,4.16185837711418e-43
tres,7.10279481576087e-52
tres,5.14790828682666e-47
tres,6.83549463928063e-49
tres,2.8171952919554e-51
tres,2.07722606958465e-49
tres,7.58943771182734e-48
tres,1.68052018251524e-47
tres,9.64971081262392e-52
tres,2.11710023948455e-49
tres,7.07823829664566e-48
tres,5.65446118063388e-48
tres,1.52803193981773e-56
tres,5.12846209099643e-54
tres,2.02734359209938e-47
tres,1.62093278009674e-79
tres,4.63382181209197e-47
tres,2.56195454296472e-48
tres,8.56678772315313e-47
tres,5.15476592766963e-51
tres,1.67800610184168e-52
tres,1.75950352411815e-50
tres,2.75021591883587e-42
tres,8.99476528932348e-49
tres,1.19851976036953e-49
tres,1.63238158446774e-47
tres,4.96807498508092e-49
tres,7.21535135329062e-50
tres,1.14970079642539e-45
tres,6.93342535352535e-48
tres,1.54190681354274e-53
tres,3.77434101488395e-49
tres,1.26979759339342e-45
dez,3.84097914162075e-83
dez,3.05452037137802e-27
dez,1.69911477209402e-39
dez,4.34696124725223e-16
dez,1.93228860359557e-15
dez,9.84703231703492e-11
dez,1.1533288900599e-44
dez,1.28032850453246e-20
dez,4.3738295007022e-40
dez,2.17589071361915e-14
dez,7.62659399327101e-12
dez,3.38119857406971e-27
dez,1.76932027531164e-43
dez,1.53486709513154e-24
dez,1.82500724461916e-49
dez,4.15567072701826e-22
dez,1.96168118707275e-24
dez,4.60278424568027e-45
dez,3.63792793555292e-23
dez,1.23363502668902e-09
dez,3.15086628984852e-05
dez,1.04881322341064e-15
dez,7.23496822639424e-45
dez,8.85445175234994e-47
dez,1.43652582129234e-41
dez,1.04197105051186e-29
dez,1.49158872044521e-12
dez,9.83202167285041e-45
dez,2.55304506319674e-44
dez,1.39819104158028e-52
dez,1.20493821651856e-28
dez,2.58237945206958e-21
dez,1.87779248800239e-07
dez,9.63873442398745e-40
dez,1.19189776525756e-12
dez,5.58623013643983e-14
dez,1.48785224955719e-34
dez,1.19397108813968e-41
dez,4.06628731543784e-46
dez,2.366113257478e-45
dez,3.92753403699285e-20
dez,1.85457144835017e-09
dez,4.34554888740656e-11
dez,1.63580804455785e-30
dez,2.57268462960932e-31
dez,1.6753066448639e-23
dez,6.50969019199518e-16
dez,1.88343329311567e-32
dez,4.0512881602242e-15
dez,2.2726722561572e-26
dez,5.6696563890814e-15
dez,4.29683784532585e-47
dez,3.27672615440385e-09
dez,1.44168874801742e-25
dez,1.1074553335083e-25
dez,8.44051765929758e-05
dez,3.20443353038596e-16
dez,4.18269210218729e-35
dez,1.4662206367808e-44
dez,6.09048566422413e-17
dez,2.04540050605593e-12
dez,1.07296211429154e-26
dez,2.33846215633704e-22
dez,2.21671546305572e-07
dez,1.90848331578473e-14
dez,2.43911725395284e-47
dez,3.76946514383159e-46
dez,3.64828795956174e-38
dez,2.26620026184065e-30
dez,2.6272427895791e-06
dez,3.6656259967816e-05
dez,2.62644097461432e-19
dez,2.29757266847278e-16
dez,3.99687202688497e-31
dez,9.2692743558943e-18
dez,6.16744379225822e-12
dez,6.39032316862703e-28
dez,2.48698938194486e-42
dez,1.16692187077016e-40
dez,1.26841145197704e-11
dez,8.21471718255643e-06
dez,6.1540609846274e-30
dez,8.85622155452717e-46
dez,3.62176743030766e-22
dez,1.67426244677003e-24
dez,5.45878642493183e-05
dez,3.01953020937056e-46
dez,4.07916326917468e-28
dez,4.61288784386398e-61
dez,8.61937087253316e-39
dez,1.61356972096934e-44
dez,4.81754571127334e-16
dez,2.05892898232714e-06
dez,7.96739811694406e-06
dez,9.10277071385772e-46
dez,2.00140050166057e-43
dez,1.86762417670608e-20
dez,3.58331869407498e-20
dez,5.01038581237212e-31
dez,8.20706616490629e-46
dez,1.85791546744088e-08
dez,1.44873608542808e-76
dez,1.6180644937668e-47
dez,6.45465441607793e-37
dez,2.29945251483285e-13
dez,1.94844792144071e-50
dez,2.41950856808381e-35
dez,3.60759311689102e-14
dez,6.25130873068524e-09
dez,1.13471226872724e-22
dez,2.25625824134352e-12
dez,3.26987420281184e-10
dez,1.73618075723525e-45
dez,1.19134175495293e-09
dez,6.1464506028553e-51
dez,1.01881932592646e-45
dez,5.99214145649517e-09
dez,1.87643273236887e-52
dez,2.03408732435831e-76
dez,1.10108892636367e-26
dez,9.79544651285327e-40
dez,5.45373857808565e-21
dez,6.94465060217026e-17
dez,1.38549941646232e-11
dez,8.19879729929916e-47
dez,1.02568899870344e-46
dez,1.06257058943644e-08
dez,2.93270577931993e-05
dez,9.52560973030341e-33
dez,1.65052735235164e-53
dez,3.91891175013398e-17
dez,3.81332723381934e-20
dez,4.52364086793523e-33
dez,4.63247648659122e-47
dez,5.50460304541493e-19
dez,5.90265342740811e-15
dez,1.70724708234626e-07
dez,6.99271830387181e-18
dez,6.64088199235665e-39
dez,4.33274824655022e-17
dez,1.23992404904423e-16
dez,3.17414680393157e-62
dez,6.94330634099729e-51
dez,8.09645313664405e-44
dez,3.83532766180573e-13
dez,1.70823534999624e-23
dez,7.26469625880512e-26
dez,9.79491836851561e-17
dez,1.50940889208366e-06
dez,1.45294789256082e-27
dez,8.78007376168681e-16
dez,1.55857300700343
dez,3.21314186093473e-31
dez,3.73931987871095e-59
dez,4.34487380349311e-46
dez,4.28828487140827e-09
dez,1.41484737387977e-45
dez,2.40477712989701e-13
dez,3.91535455995593e-40
dez,1.49953542290792e-44
dez,2.72897588458024e-11
dez,4.83865261655812e-10
dez,4.31773975147396e-25
dez,7.31064695391013e-27
dez,2.66286157743139e-16
dez,2.76634410684175e-11
dez,4.23377607977866e-45
dez,3.80597491578143e-21
dez,1.89528123188413e-08
dez,6.88524242535848e-47
dez,1.74762401877838e-45
dez,7.25419597118207e-22
dez,2.38855010784391e-29
dez,1.11150679302492
dez,1.23234725733883e-10
dez,7.26695015039225e-10
dez,1.31812140037658e-32
dez,1.62771872551038e-08
dez,1.34615437497221e-44
dez,4.9592832277724e-34
dez,2.13960482917465e-39
dez,1.12437833439878e-51
dez,1.40752845450302e-27
dez,3.77553219518943e-43
dez,1.02810761339443e-27
dez,2.6081201822878e-25
dez,0.00378916750337703
dez,1.52400149014614e-08
dez,1.35498991952871e-41
dez,1.34022497933828e-17
dez,2.64024274435992e-16
dez,2.01082102913043e-25
dez,2.54639312412267e-08
dez,0.000256227919257402
dez,1.47131830775159e-12
dez,1.34717427196209e-16
dez,8.3129736556782e-15
dez,7.61357633197092e-46
dez,4.57160792384562e-18
dez,3.95593603830155e-15
dez,0.351325297155661
dez,2.49827156750712e-46
dez,1.73724642825606e-15
dez,8.68641847021443e-21
dez,1.29574601483214e-10
dez,2.31256427977771e-14
dez,5.29632767422865e-20
dez,7.76404363367069e-27
dez,1.34884340892182e-18
dez,5.18802584533912e-06
dez,3.3039470130471e-11
dez,7.51679673397882e-15
dez,2.58385510814034e-46
dez,4.00525009004721e-27
dez,4.89050404007495e-53
dez,1.59283181218922e-17
dez,3.49898632667903e-45
dez,6.37728068225336e-16
dez,7.02921449315577e-34
dez,1.65762291884723e-19
dez,4.70774361238498e-18
dez,6.35178544128404e-07
dez,7.16851720492172e-41
dez,1.30536916393492e-21
dez,1.34666537856229e-15
dez,1.91909912729454e-14
dez,2.88170178948546e-10
dez,1.7729688015688e-07
dez,0.179121700384862
dez,2.97920264263366e-31
dez,3.37857250836598e-16
dez,6.84530198144676e-17
dez,4.22963362184757e-39
dez,5.93581504028332e-14
dez,7.99558326188785e-45
dez,1.41688636852607e-45
dez,1.99301677553484e-10
dez,1.78591792538738e-26
dez,2.02310412482144e-44
dez,6.59309706272886e-21
dez,2.7218199608606e-16
dez,5.30688245276682e-19
dez,1.17786768365686e-08
dez,9.69755752755852e-29
dez,1.34558727299233e-38
dez,1.47343742653646e-14
dez,1.80744227199081e-21
dez,2.96961302205165e-36
dez,2.14502270146378e-09
dez,1.07378927366012e-47
dez,4.07987834185444e-11
dez,4.76772589837767e-11
dez,5.8070236014784e-26
dez,0.000887275901985374
dez,5.2217666606515e-10
dez,3.06080095126679e-45
dez,0.000292430212703635
dez,2.64968788488326e-36
dez,5.73834776930896e-13
dez,4.84073585943315e-17
dez,4.14768615686316e-37
dez,1.42456227599762e-13
dez,2.59625543519392e-30
dez,0.000428240533552909
dez,1.07034804975416e-28
dez,3.48673924047787e-25
dez,4.50361291367292e-45
dez,4.45519614949578e-13
dez,3.14570557632163e-39
dez,1.18644945477178e-36
dez,9.70790555496829e-10
dez,1.91776856479122e-25
dez,3.82227652461023e-11
dez,4.35986693299575e-15
dez,5.05868361185972e-29
dez,9.75957220660119e-19
dez,5.90670567930079e-37
dez,4.85045373821497e-47
dez,3.59042960933018e-11
dez,4.57708034185934e-23
dez,9.12850176431742e-45
dez,1.01289024699935e-18
dez,3.73719665011864e-46
dez,1.39463043153261e-08
dez,1.17363069894064e-45
dez,3.16702232973058e-47
dez,0.000713829132668138
dez,1.01737045400449e-37
dez,1.73127192463724e-19
dez,3.71224494146365e-49
dez,0.000302655515642716
dez,8.07879808331506e-31
dez,8.25851462832586e-46
dez,1.05679943389141e-15
dez,6.44230009593267e-46
dez,1.27349627824956e-15
dez,4.16469141653167e-18
dez,2.37632209440589e-45
dez,5.36083730498612e-18
dez,5.89371220521688e-16
vinte,7.79875477127224e-06
vinte,0.223049874908983
vinte,0.258385120152788
vinte,0.132009190733204
vinte,1.04896373322949e-07
vinte,0.0361392978435864
vinte,1.81893552542336e-05
vinte,4.323918056786e-05
vinte,0.13587898818249
vinte,0.0538865512114468
vinte,6.86470059832621
vinte,0.568265836513472
vinte,0.00418216578611722
vinte,2.66274237099151e-06
vinte,6.29577616469623e-07
vinte,3.67900298139092
vinte,6.19272004421579e-13
vinte,0.0330297343559542
vinte,0.00651872347821957
vinte,9.24035286154165e-05
vinte,0.0397576966729443
vinte,0.342265701691796
vinte,0.000145036720583874
vinte,0.00121239541866235
vinte,0.0288941057921222
vinte,0.00460781834351582
vinte,7.42668995467557e-09
vinte,0.0203169738292193
vinte,0.544765027199734
vinte,7.12465963639609e-07
vinte,0.129927981650477
vinte,0.000814098103064909
vinte,0.0839350269475217
vinte,3.64145831676905e-06
vinte,0.0362561517647497
vinte,0.000701418093760656
vinte,0.000282814018215785
vinte,6.58775037052499e-06
vinte,0.387952300762418
vinte,0.00349798011231418
vinte,4.88761969404849e-10
vinte,0.000861080493271941
vinte,1.04044840335818e-05
vinte,0.000809316002371967
vinte,0.000964659801903127
