"V1" "V2" "V3"
"1" 1 1 1
"2" 1 1 1
"3" 1 1 1
"4" 1 1 1
"5" -1.88615496356189 3.56168273195694 12.6843454644618
"6" 1.18181017617565 1.39760940947062 1.95055220913958
"7" 1 1 1
"8" 1 1 1
"9" 1 0.999999999999999 0.999999999999999
"10" 1 1 1
"11" 1 1 1
"12" 1 1 1
"13" 0.586798216506432 0.356587155328053 0.128476875848217
"14" 1 1 1
"15" 1.39669831819959 1.9389656853423 3.75984970819887
"16" 1 1 1
"17" 1 1 1
"18" 1 1 1
"19" 0.997610060216698 0.995208570680994 0.990403228751118
"20" 1 1 1
"21" 1 1 1
"22" 1.00000004425198 1.00000008863968 1.00000017771373
"23" 1 1 1
"24" 1 1 1
"25" 1 1 1
"26" 1 1 1
"27" 0.230312404801276 0.0459290440468169 -0.00785971711403329
"28" 1.53415188042271 2.35524062419653 5.55028228177908
"29" 1 1 1
"30" 1 1 1
