"V1" "V2" "V3"
"1" -4.86624758566002e-35 -1.27244437823106e-34 2.91607112653317e-35
"2" 1.87642568179711e-26 1.10754732178769e-26 8.31977263747531e-27
"3" 5.81363532644119e-25 -1.52705620818904e-24 1.42967703157975e-24
"4" -3.11264432148195e-27 -1.00148453755274e-27 5.19012024260007e-29
"5" 1.71993462922495e-27 1.15991009718602e-27 1.12617751070919e-27
"6" 9.79805644339364e-27 -3.07017859746704e-27 -1.74247032336296e-26
"7" -2.0791801792119e-41 -3.29661858496855e-41 -4.14262852939169e-41
"8" -1.05917102074067e-20 3.80291099659088e-21 1.08232913072384e-20
"9" 7.21683008115015e-26 7.05686126937661e-25 1.83183175259007e-25
"10" -8.95789268542917e-26 -8.2059857261339e-25 -9.0022434679464e-25
"11" -2.95380051414904e-25 -2.51721652980211e-25 2.99483629688167e-25
"12" 4.91924678064502e-27 -5.30962711554835e-27 -4.44342590189064e-27
"13" 1.31418927363527e-36 -5.22031749554397e-37 4.24445648370891e-37
"14" 2.30979068455225e-27 8.30173283021993e-29 -2.5861665999201e-27
"15" 2.65706836219127e-34 2.93302288718257e-33 -3.6796870487417e-34
"16" -1.19628301274034e-25 1.67507744450724e-26 -2.94983423366481e-26
"17" -3.69131738341388e-24 -1.39041695036812e-24 -2.00280590184937e-24
"18" -1.88422330384471e-25 2.10512452621496e-25 5.06427613281234e-26
"19" -1.24222589078813e-24 5.03280375819856e-26 1.62857509888055e-24
"20" 7.22114823308865e-28 3.32503487089248e-29 -7.02056994409246e-28
"21" 2.25219659072629e-26 -4.28975880143225e-25 5.05804708688924e-26
"22" -1.31986788282118e-25 1.14302041623256e-24 5.13751278680708e-25
"23" -2.24580567528845e-17 -4.68962754871321e-17 8.34757162920897e-18
"24" 2.0011583287188e-24 -2.6560271310495e-24 2.63944141864238e-24
"25" -3.7743219473516e-26 -3.40377108209613e-26 -3.68151060930261e-26
"26" 7.06170351058948e-26 6.76526621110477e-26 -9.36565177930018e-26
"27" -1.22816603490279e-27 1.62653993024666e-27 1.31581859247354e-26
"28" -8.16761179816004e-25 -1.82383205652278e-24 2.63094096441306e-24
"29" 1.14552706061716e-78 -2.03728895877561e-78 -7.25380950788077e-79
"30" 1.28874827661221e-29 -9.63270397752584e-29 -1.04931451148995e-28
